user_id,age,reels_watch_time_hours,daily_screen_time_hours,sleep_hours,attention_span_score,focus_level,task_completion_rate,stress_level,platform
171,17,0.55,6.9,7.79,2.4,4.53,65.96,Medium,YouTube Shorts
172,15,4.69,5.62,4.04,8.4,2.59,76.69,Medium,TikTok
173,17,4.42,11.94,6.48,7.33,9.22,62.67,High,Instagram Reels
174,19,2.51,3.11,7.69,9.78,8.91,54.31,High,TikTok
175,29,0.79,7.9,7.91,5.17,6.53,54.26,Low,YouTube Shorts
176,28,4.65,8.82,4.79,7.5,5.6,48.03,High,Instagram Reels
177,17,5.75,11.34,6.09,5.66,3.1,82.06,High,TikTok
178,15,1.82,9.8,6.1,1.62,8.11,77.35,Low,YouTube Shorts
179,19,2.28,8.44,4.52,1.42,1.07,74.75,High,YouTube Shorts
180,40,1.51,3.17,6.22,2.1,5.17,71.86,Low,YouTube Shorts
181,37,3.67,5.74,8.04,3.67,8.74,62.05,Low,Instagram Reels
182,28,1.35,3.39,5.5,3.33,6.57,86.12,High,Instagram Reels
183,21,2.46,10.81,6.16,7.55,6.72,95.32,Medium,YouTube Shorts
184,41,4.33,9.5,8.8,7.44,1.64,66.4,High,YouTube Shorts
185,23,3.58,9.58,4.16,9.74,3.58,64.55,Medium,Instagram Reels
186,29,2.63,8.52,6.96,3.79,7.06,49.76,High,TikTok
187,29,2.81,7.07,7.72,9.45,1.45,80.24,High,TikTok
188,40,3.59,3.5,7.8,6.52,3.98,73.49,High,TikTok
189,24,0.53,5.3,7.58,5.46,4.19,99.28,Medium,YouTube Shorts
190,42,0.93,3.37,7.63,7.01,5.49,75.06,Medium,YouTube Shorts
191,27,5.35,9.25,4.3,7.32,4.26,57.32,Low,Instagram Reels
192,33,0.93,3.6,6.67,2.55,5.09,73.78,Medium,YouTube Shorts
193,21,4.39,9.02,7.91,7.77,5.92,99.08,Medium,TikTok
194,31,5.56,8.92,4.47,7.53,2.16,83.4,Medium,YouTube Shorts
195,34,1.99,6.59,4.06,9.98,2.62,47.71,High,TikTok
196,43,2.54,3.35,8.07,9.21,8.49,60.59,Medium,Instagram Reels
197,18,3.63,5.15,7.56,7.16,5.14,57.92,High,Instagram Reels
198,44,5.35,5.2,6.06,7.41,4.2,91.41,High,Instagram Reels
199,19,5.68,9.0,8.7,9.51,4.9,76.67,High,Instagram Reels
200,37,4.57,3.14,7.83,9.7,2.57,88.61,High,Instagram Reels
201,21,0.98,10.29,8.84,8.44,3.16,50.57,Medium,YouTube Shorts
202,27,4.18,9.61,8.65,7.91,5.64,94.48,High,TikTok
203,29,2.76,3.86,6.41,2.0,4.23,43.5,Medium,TikTok
204,25,3.09,9.19,7.77,8.47,5.28,62.49,Low,TikTok
205,43,0.77,8.69,7.35,3.28,2.35,40.85,Low,YouTube Shorts
206,18,1.55,9.48,8.06,6.07,2.41,51.06,High,TikTok
207,27,4.85,3.89,7.94,4.65,4.46,97.73,Low,TikTok
208,21,3.0,3.58,4.77,4.11,4.41,44.71,Low,YouTube Shorts
209,41,2.16,4.36,5.17,3.79,8.95,48.72,Low,TikTok
210,33,2.61,5.66,5.33,8.7,1.3,95.49,High,YouTube Shorts
211,36,5.2,9.94,8.09,7.92,9.94,82.61,Low,TikTok
212,42,4.62,9.38,8.05,5.71,9.61,64.42,High,Instagram Reels
213,16,2.0,11.25,6.48,6.98,5.88,44.13,Medium,Instagram Reels
214,24,1.15,2.59,6.9,9.86,7.47,87.1,Low,YouTube Shorts
215,27,1.89,2.12,8.13,4.58,9.42,69.56,High,YouTube Shorts
216,44,5.56,8.99,5.56,5.96,3.26,59.38,Medium,YouTube Shorts
217,39,3.7,4.79,4.25,5.8,3.84,61.65,Low,YouTube Shorts
218,35,3.43,5.34,6.41,9.42,2.0,70.32,Low,Instagram Reels
219,20,3.78,7.47,8.57,4.16,6.07,73.07,High,Instagram Reels
220,42,2.51,3.02,7.95,9.88,2.44,89.09,Low,Instagram Reels
221,42,4.94,8.43,5.83,3.74,9.38,86.3,Low,YouTube Shorts
222,26,3.38,5.25,4.32,1.98,4.88,86.02,High,Instagram Reels
223,26,1.14,8.33,7.18,2.72,9.28,83.76,Medium,Instagram Reels
224,34,1.21,10.34,8.17,4.84,2.85,85.47,Medium,YouTube Shorts
225,44,3.45,3.71,7.32,6.85,7.25,80.66,Low,YouTube Shorts
226,44,5.65,11.31,6.13,5.65,6.83,92.08,High,TikTok
227,25,2.2,7.31,4.62,4.39,4.6,73.45,Medium,Instagram Reels
228,40,5.28,11.23,8.55,6.06,9.09,71.25,Medium,YouTube Shorts
229,37,4.7,4.08,5.38,8.55,4.91,82.08,Medium,Instagram Reels
230,42,1.86,8.05,5.12,8.55,2.79,49.96,Medium,Instagram Reels
231,39,0.7,6.04,8.08,7.54,9.79,86.62,High,Instagram Reels
232,21,1.06,9.74,8.91,9.57,4.97,96.17,Medium,Instagram Reels
233,44,4.51,8.06,7.3,6.31,2.87,57.78,Medium,YouTube Shorts
234,15,1.6,6.95,7.12,1.07,4.27,76.66,Medium,TikTok
235,15,2.54,11.13,5.6,3.62,6.52,41.96,Low,Instagram Reels
236,39,3.26,5.77,4.1,3.95,5.61,85.95,Medium,TikTok
237,41,4.49,4.2,4.96,5.93,6.72,73.58,Low,Instagram Reels
238,44,1.12,8.08,6.92,9.14,6.96,80.42,Medium,TikTok
239,39,2.74,8.24,4.76,8.54,2.11,48.58,High,YouTube Shorts
240,34,3.17,6.39,8.42,3.09,3.83,88.57,High,Instagram Reels
241,27,3.47,6.87,4.94,5.67,7.74,55.36,High,Instagram Reels
242,23,5.0,11.6,6.61,6.93,6.85,81.09,Low,TikTok
243,17,1.44,9.33,6.56,9.89,1.8,75.59,Low,YouTube Shorts
244,21,4.94,3.11,7.02,1.28,3.84,79.23,Medium,Instagram Reels
245,20,4.31,4.12,5.64,5.17,9.38,43.01,High,TikTok
246,22,3.56,11.76,8.37,9.89,8.76,84.51,Medium,YouTube Shorts
247,41,4.35,9.26,6.22,9.79,7.04,87.71,Medium,YouTube Shorts
248,23,2.77,11.15,7.5,3.98,1.66,68.49,High,TikTok
249,44,1.26,5.04,7.18,1.0,6.46,64.53,Medium,YouTube Shorts
250,19,4.16,9.42,4.59,6.28,1.11,60.55,Low,Instagram Reels
251,15,3.39,9.14,7.11,8.8,6.95,95.67,Low,YouTube Shorts
252,33,4.02,4.95,6.75,3.92,7.58,85.3,High,YouTube Shorts
253,24,2.36,7.51,8.49,9.41,5.48,81.92,High,Instagram Reels
254,26,5.49,8.27,8.4,3.99,1.03,95.54,High,Instagram Reels
255,38,3.73,6.81,4.75,6.49,7.0,60.93,High,YouTube Shorts
256,29,0.97,10.27,4.41,7.5,8.38,77.81,Medium,TikTok
257,41,2.97,10.33,5.47,4.11,6.27,81.16,Medium,Instagram Reels
258,36,4.66,10.51,8.93,4.17,7.38,99.77,High,Instagram Reels
259,38,4.87,10.03,4.11,5.23,1.81,65.63,High,TikTok
260,23,3.22,6.88,7.36,8.52,7.44,64.01,Medium,Instagram Reels
261,34,5.42,5.81,7.04,1.91,6.53,45.07,Medium,TikTok
262,31,1.97,10.31,7.23,6.68,3.98,45.91,Low,Instagram Reels
263,44,2.76,6.9,5.09,7.1,7.17,70.71,Medium,YouTube Shorts
264,31,5.44,4.46,5.13,6.02,6.81,50.27,High,YouTube Shorts
265,40,5.43,7.07,6.15,9.42,6.4,44.38,High,TikTok
266,34,4.27,3.42,4.48,6.42,2.65,97.89,Low,YouTube Shorts
267,26,5.22,8.92,4.37,6.71,3.67,97.09,Low,TikTok
268,44,0.99,5.36,4.44,6.4,9.92,59.52,Low,YouTube Shorts
269,21,5.26,4.61,6.86,7.5,4.9,87.39,Medium,TikTok
270,16,2.26,11.57,5.99,2.22,1.53,92.35,Medium,TikTok
271,17,1.48,9.77,5.47,9.05,9.09,67.88,High,YouTube Shorts
272,31,1.82,9.87,5.58,1.38,2.56,53.42,High,Instagram Reels
273,19,2.8,8.24,5.04,6.77,4.63,47.79,Low,Instagram Reels
274,31,1.88,10.39,6.06,6.54,3.5,48.45,Low,TikTok
275,38,2.26,9.59,5.02,2.87,9.67,87.82,Medium,TikTok
276,31,1.24,7.99,7.49,1.37,4.4,63.06,High,YouTube Shorts
277,41,2.13,11.61,4.62,2.25,7.38,81.61,High,YouTube Shorts
278,31,3.65,3.92,8.74,3.45,6.39,72.32,Low,YouTube Shorts
279,16,2.93,11.43,4.45,8.94,1.39,63.68,Medium,TikTok
280,16,2.41,6.01,8.72,8.7,4.46,47.43,High,YouTube Shorts
281,42,4.61,7.28,8.17,1.57,4.51,60.01,High,YouTube Shorts
282,36,5.41,3.23,7.4,3.6,9.91,90.41,Medium,YouTube Shorts
283,37,4.66,7.4,8.56,9.0,8.31,88.68,Low,TikTok
284,19,2.33,8.11,4.7,3.13,8.71,41.7,Low,TikTok
285,15,4.59,11.98,4.88,9.96,3.82,48.42,Medium,YouTube Shorts
286,15,1.34,11.75,5.26,3.31,3.96,85.35,Medium,TikTok
287,33,1.22,11.66,5.22,7.65,5.64,60.14,Medium,Instagram Reels
288,44,2.4,5.48,5.55,4.75,6.68,78.62,High,TikTok
289,16,4.94,11.91,6.88,2.23,7.55,73.76,Medium,YouTube Shorts
290,35,1.85,6.55,4.14,3.3,8.39,79.12,Low,YouTube Shorts
291,26,0.85,10.52,5.91,7.08,8.86,43.22,High,TikTok
292,40,1.22,4.16,5.23,4.03,1.22,95.87,Medium,YouTube Shorts
293,20,5.22,7.06,7.03,6.44,8.16,41.26,Medium,Instagram Reels
294,37,3.99,11.66,8.93,2.85,6.5,40.48,Medium,YouTube Shorts
295,18,1.89,11.47,6.59,5.04,5.79,53.57,Low,TikTok
296,37,3.55,8.84,6.13,5.61,6.66,99.61,Low,TikTok
297,25,3.4,9.98,5.84,4.72,8.94,44.35,Low,TikTok
298,38,4.1,3.76,7.92,2.78,5.91,92.47,High,TikTok
299,41,1.78,9.22,4.36,5.15,2.46,49.55,Low,YouTube Shorts
300,31,5.25,8.18,8.8,7.24,4.93,46.55,Medium,TikTok
301,20,2.2,2.92,6.09,9.68,9.32,86.74,Low,TikTok
302,38,4.32,3.13,5.57,8.11,8.33,90.8,High,Instagram Reels
303,19,0.59,3.08,8.87,2.45,2.83,87.53,Low,YouTube Shorts
304,34,2.55,9.24,8.68,3.45,7.43,54.46,High,Instagram Reels
305,16,2.43,3.42,7.21,1.71,3.31,92.79,Medium,YouTube Shorts
306,20,3.49,6.68,4.09,2.22,4.14,44.31,High,TikTok
307,36,0.9,5.57,7.74,3.26,5.22,60.52,Low,YouTube Shorts
308,25,4.85,7.51,5.68,2.8,4.97,67.79,Medium,TikTok
309,30,1.7,9.06,5.94,2.92,1.26,44.06,Low,TikTok
310,30,4.22,8.85,4.79,3.08,7.97,74.79,Low,Instagram Reels
311,15,4.92,7.16,6.62,3.71,8.62,73.56,Medium,YouTube Shorts
312,23,3.59,6.64,7.72,2.13,5.78,99.53,Medium,YouTube Shorts
313,42,4.57,5.98,5.37,3.5,2.56,77.3,Low,TikTok
314,41,4.14,10.62,8.69,7.2,3.23,63.85,Medium,Instagram Reels
315,20,2.46,5.31,4.97,3.13,2.14,87.41,Low,Instagram Reels
316,30,4.95,4.59,4.33,2.55,2.53,60.1,High,TikTok
317,43,2.12,9.43,7.22,1.61,8.89,71.97,High,Instagram Reels
318,17,3.64,5.6,8.25,5.5,5.32,43.33,Low,Instagram Reels
319,34,4.6,10.47,8.77,8.58,2.0,59.36,High,Instagram Reels
320,42,2.58,5.28,7.84,1.53,3.29,71.69,Low,TikTok
321,41,2.17,9.02,5.0,5.88,9.55,82.14,Medium,Instagram Reels
322,18,3.03,2.45,8.89,6.86,5.58,45.94,High,TikTok
323,33,5.0,5.86,8.6,6.33,5.64,87.83,Medium,TikTok
324,40,5.61,5.43,4.82,8.9,5.73,94.01,Low,TikTok
325,17,3.5,10.17,6.79,8.8,2.0,56.86,Low,YouTube Shorts
326,33,4.14,11.67,6.78,1.52,9.73,85.92,High,TikTok
327,34,5.47,6.61,6.21,4.25,1.76,50.82,Medium,YouTube Shorts
328,21,1.04,10.25,8.92,7.04,7.3,71.4,Low,YouTube Shorts
329,34,1.78,9.0,4.3,9.57,1.52,87.86,Low,YouTube Shorts
330,23,4.4,11.67,7.14,8.24,4.99,63.19,Medium,TikTok
331,15,5.03,10.11,5.03,2.59,9.1,41.58,Medium,Instagram Reels
332,22,5.21,2.77,6.64,3.51,7.92,72.4,Low,YouTube Shorts
333,21,2.78,9.13,7.9,7.87,4.01,90.68,Medium,YouTube Shorts
334,32,0.99,7.35,5.23,5.24,5.96,46.5,High,Instagram Reels
335,22,2.91,2.16,5.97,5.93,2.49,41.78,Medium,YouTube Shorts
336,15,1.77,4.51,8.75,6.48,9.61,88.54,High,YouTube Shorts
337,25,2.1,11.22,7.81,1.93,7.38,56.03,Medium,YouTube Shorts
338,42,4.75,11.26,6.86,8.7,4.37,61.86,Low,TikTok
339,39,0.92,9.99,5.11,8.77,3.86,45.22,Low,YouTube Shorts
340,39,5.05,11.82,6.13,5.21,3.15,45.8,Medium,Instagram Reels
341,32,2.85,10.07,7.87,6.64,8.08,76.87,Medium,Instagram Reels
342,37,3.78,2.1,8.1,6.94,4.91,73.13,Low,YouTube Shorts
343,44,0.99,4.88,5.22,2.71,3.97,57.54,Medium,TikTok
344,24,2.36,2.31,7.31,2.01,9.15,67.16,Low,YouTube Shorts
345,17,0.99,2.94,4.48,1.19,2.35,63.29,Low,Instagram Reels
346,21,5.79,4.19,4.12,9.22,3.37,81.7,Low,Instagram Reels
347,42,4.94,7.04,6.74,4.11,4.1,91.73,High,Instagram Reels
348,30,3.03,10.48,5.12,1.77,3.34,85.91,High,TikTok
349,40,1.73,10.62,4.39,5.19,6.27,40.26,High,YouTube Shorts
350,30,5.63,8.16,7.65,1.68,6.41,45.97,Low,YouTube Shorts
351,39,2.4,11.28,6.49,1.77,1.49,65.76,Low,TikTok
352,34,1.39,7.0,7.98,5.4,2.3,91.11,Medium,YouTube Shorts
353,42,3.6,10.89,7.32,5.58,2.79,54.22,High,YouTube Shorts
354,31,5.69,6.54,7.65,6.22,1.63,92.74,Low,Instagram Reels
355,16,0.52,4.77,5.54,6.91,2.12,46.6,Medium,YouTube Shorts
356,15,1.81,11.16,5.32,7.01,3.16,44.36,Medium,YouTube Shorts
357,30,5.66,5.88,7.0,4.9,4.11,94.81,High,Instagram Reels
358,44,1.44,7.03,5.0,6.79,8.12,49.72,High,YouTube Shorts
359,26,1.12,5.29,8.08,3.74,2.96,67.83,High,YouTube Shorts
360,19,3.64,8.63,6.61,4.97,7.03,59.56,Low,YouTube Shorts
